ratio,resample_type,k,accuracy,precision,recall,f1,roc_auc
0.1,down,5,0.9841700571691808,0.018668596237337194,0.06013986013986014,0.02849254555494202,0.6517059822401114
0.1,down,7,0.9899355609579662,0.022172949002217297,0.037296037296037296,0.02781157656874674,0.6759934239740012
0.1,down,3,0.9714927868221169,0.014738184652448097,0.09696969696969697,0.025587403124615573,0.6184369818660809
0.5,down,7,0.8586281915860354,0.01059278614612153,0.38554778554778557,0.020619070770534924,0.7210802462250326
0.5,down,5,0.8417977431039788,0.009728716289597933,0.3967365967365967,0.018991720413309827,0.7087677924025007
0.5,down,3,0.8178719820628771,0.009428449752899347,0.4438228438228438,0.018464641762675045,0.6820131787317746
1.0,down,7,0.6761744694710816,0.0076860460609013935,0.6470862470862471,0.015191646783267298,0.7174302123190619
1.0,down,5,0.671566025275364,0.00746024117441454,0.6368298368298368,0.014747717936399117,0.7073817135714913
1.0,down,3,0.6656205744270036,0.007407288213776161,0.6438228438228438,0.014646070960797102,0.6886856957479854
