model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc,best_iter
XGB_Resampled,0.1,up,0.9989203176425495,0.9089465325569084,0.8004662004662004,0.8512642538423401,0.9968303018731688,200
XGB_Resampled,0.05,up,0.9989059218777836,0.9174361759913091,0.7874125874125875,0.8474661314601104,0.9969076189063039,200
XGB_Resampled,0.2,up,0.998866333524677,0.8894601542416453,0.8065268065268065,0.8459657701711492,0.9971227932432758,200
XGB_Internal_ScalePos,internal,none,0.9985100383467184,0.80727951469902,0.8065268065268065,0.8069029850746269,0.9958759052838615,198
XGB_Resampled,0.05,down,0.9979324082854825,0.685682326621924,0.8573426573426574,0.761963952765693,0.9973302301923228,200
XGB_Resampled,0.1,down,0.9959619879831354,0.48750315576874526,0.9002331002331002,0.6324926301998035,0.9973019107208936,200
XGB_Resampled,0.2,down,0.9927841229110396,0.34122254384471307,0.9342657342657342,0.49987528061860814,0.9971763111238593,200
