model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc
LinearSVC,0.05,down,0.9963938609261155,0.5669515669515669,0.2783216783216783,0.37335834896810505,0.8286383713990503
LinearSVC,0.05,up,0.9964172540438603,0.5749027237354085,0.2755244755244755,0.372518121651434,0.828636828553371
LinearSVC,0.1,up,0.9940365544456821,0.2908765652951699,0.37902097902097903,0.3291497975708502,0.8283774805739348
LinearSVC,0.1,down,0.9939465809158945,0.2859149982437654,0.37948717948717947,0.3261217948717949,0.8282161496141922
LinearSVC,0.2,down,0.9863762081195713,0.13288227334235453,0.4578088578088578,0.20597797587834293,0.8290924708010772
LinearSVC,0.2,up,0.9859137441764633,0.12734426229508197,0.45268065268065266,0.19877175025588537,0.8292595747996471
LinearSVC,0.3,up,0.9794734389142714,0.09674329501915709,0.517948717948718,0.16303470540758677,0.833634707014237
LinearSVC,0.3,down,0.979108146383334,0.09547824600393195,0.5207459207459207,0.16136954637388037,0.8335014614041448
LinearSVC,0.5,down,0.9539227559252068,0.05604965371078227,0.6904428904428904,0.10368244189302717,0.8398109296518542
LinearSVC,0.5,up,0.9527279074496283,0.054445388394341224,0.6871794871794872,0.10089670750906975,0.8403220419178538
LinearSVC,1.0,down,0.8017415276425676,0.013921259842519684,0.7212121212121212,0.02731526441246579,0.8515776216061994
LinearSVC,1.0,up,0.7958356651473136,0.013513395393557974,0.7207459207459207,0.02652938652938653,0.8522406275346261
LinearSVC,,up,0.9961401355721147,0.0,0.0,0.0,0.8307542116044683
LinearSVC,,down,0.9961401355721147,0.0,0.0,0.0,0.8307542116044683
