model,ratio,resample_type,accuracy,precision,recall,f1,roc_auc,best_iter
XGB_Resampled,0.1,up,0.9989221171131453,0.9107332624867163,0.799067599067599,0.8512540352619816,0.9966732074228092,200
XGB_Resampled,0.05,up,0.9989059218777836,0.9206349206349206,0.7841491841491841,0.8469284994964753,0.9972780054555933,200
XGB_Resampled,0.2,up,0.998844739877528,0.887570912841671,0.8023310023310023,0.8428011753183153,0.9969666849677472,200
XGB_Internal_ScalePos,internal,none,0.9985208351702929,0.8069605568445476,0.8107226107226108,0.8088372093023256,0.9960209411993636,199
XGB_Resampled,0.05,down,0.9979576008738229,0.6888556469708302,0.8587412587412587,0.764473957252542,0.9972599094422012,200
XGB_Resampled,0.1,down,0.9960141726304121,0.49114372469635625,0.9048951048951049,0.6367065770050845,0.9972975403073276,200
XGB_Resampled,0.2,down,0.9929118853233379,0.3455046503616948,0.9351981351981352,0.5045906175323859,0.9971783996922461,200
